# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 586  of event 'cycles'
# Event count (approx.): 620220825
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    66.27%  node     [JIT] tid 4586       [.] LazyCompile:* /home/uma/Documents/v8-test/v8/v8-perf-report/js-wasm-asm-compare/add-roop/add-roop.js:1
     1.25%  node     node                 [.] std::__find_if<unsigned short const*, __gnu_cxx::__ops::_Iter_pred<v8::internal::Utf16CharacterStream::AdvanceUntil<v8::internal::Scanner::ScanIdentifierOrKeywordInner()::{lambda(int)#1}>(v8::internal::Scanner::ScanIdentifierOrKeywordInner()::{lambda(int)#1})::{lambda(unsigned short)#1}> >
     1.25%  node     node                 [.] v8::internal::Scanner::Next
     0.63%  node     libc-2.31.so         [.] malloc
     0.63%  node     node                 [.] v8::internal::HeapObject::SizeFromMap
     0.61%  node     node                 [.] Cr_z_inflate_fast
     0.49%  node     [kernel.kallsyms]    [k] memcg_kmem_get_cache
     0.49%  node     node                 [.] v8::internal::Code::OffHeapInstructionEnd
     0.47%  node     node                 [.] v8::internal::EmbeddedData::InstructionStartOfBuiltin
     0.36%  node     node                 [.] v8::internal::interpreter::BytecodeGenerator::VisitNoStackOverflowCheck
     0.36%  node     node                 [.] v8::internal::Serializer::SerializeRoot
     0.36%  node     libc-2.31.so         [.] _int_free
     0.36%  node     [kernel.kallsyms]    [k] asm_exc_page_fault
     0.36%  node     node                 [.] v8::base::TemplateHashMapImpl<unsigned long, v8::internal::SerializerReference, v8::base::KeyEqualityMatcher<long>, v8::base::DefaultAllocationPolicy>::Resize
     0.36%  node     node                 [.] v8::internal::CalculateLineEndsImpl<unsigned char>
     0.36%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseExpressionOrLabelledStatement
     0.36%  node     node                 [.] v8::internal::CodeSerializer::SerializeObject
     0.36%  node     node                 [.] v8::internal::Serializer::ObjectSerializer::SerializePrologue
     0.36%  node     [kernel.kallsyms]    [k] kmem_cache_alloc
     0.36%  node     node                 [.] v8::internal::ScannerStream::For
     0.35%  node     node                 [.] v8::internal::String::ToCString
     0.35%  node     node                 [.] std::vector<unsigned char, v8::internal::ZoneAllocator<unsigned char> >::emplace_back<unsigned char>
     0.35%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseLogicalExpression
     0.35%  node     node                 [.] v8::internal::AstValueFactory::GetString
     0.35%  node     node                 [.] v8::internal::Scope::AllocateVariablesRecursively
     0.33%  node     node                 [.] Builtins_CallFunction_ReceiverIsAny
     0.32%  node     [kernel.kallsyms]    [k] clear_page_orig
     0.32%  node     [kernel.kallsyms]    [k] start_this_handle
     0.31%  node     node                 [.] v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::EntryForProbe
     0.29%  node     [kernel.kallsyms]    [k] xas_load
     0.18%  node     libc-2.31.so         [.] __strlen_avx2
     0.18%  node     node                 [.] v8::internal::ExternalString::ExternalPayloadSize
     0.18%  node     node                 [.] Builtins_CreateObjectLiteralHandler
     0.18%  node     node                 [.] v8::internal::Parser::UpdateStatistics
     0.18%  node     node                 [.] node::options_parser::OptionsParser<node::PerProcessOptions>::Convert<node::options_parser::OptionsParser<node::PerIsolateOptions>::BaseOptionField, node::PerIsolateOptions>(std::shared_ptr<node::options_parser::OptionsParser<node::PerIsolateOptions>::BaseOptionField>, node::PerIsolateOptions* (node::PerProcessOptions::*)())::AdaptedField::LookupImpl
     0.18%  node     node                 [.] Cr_z_adler32_z
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::Parser>::ParseObjectLiteral
     0.18%  node     node                 [.] v8::internal::JSObject::DefineOwnPropertyIgnoreAttributes
     0.18%  node     node                 [.] v8::internal::(anonymous namespace)::CacheTemplateInstantiation
     0.18%  node     node                 [.] std::_Rb_tree<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*>, std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int>, std::_Select1st<std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int> >, std::less<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> >, v8::internal::ZoneAllocator<std::pair<std::tuple<v8::internal::interpreter::BytecodeGenerator::FeedbackSlotCache::SlotKind, int, void const*> const, int> > >::find
     0.18%  node     node                 [.] Builtins_CallUndefinedReceiver2Handler
     0.18%  node     node                 [.] Builtins_CallProperty2Handler
     0.18%  node     node                 [.] v8::internal::ExpressionParsingScope<v8::internal::ParserTypes<v8::internal::Parser> >::ExpressionParsingScope
     0.18%  node     node                 [.] v8::internal::RuntimeCallTimerScope::RuntimeCallTimerScope
     0.18%  node     libc-2.31.so         [.] __strcmp_avx2
     0.18%  node     node                 [.] v8::internal::FactoryBase<v8::internal::Factory>::NewDescriptorArray
     0.18%  node     node                 [.] v8::internal::Malloced::operator new
     0.18%  node     node                 [.] v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterTransfer
     0.18%  node     node                 [.] v8::internal::VariableMap::Declare
     0.18%  node     node                 [.] v8::internal::interpreter::BytecodeGenerator::VisitStatements
     0.18%  node     node                 [.] v8::internal::PagedSpace::AllocateRaw
     0.18%  node     libstdc++.so.6.0.28  [.] 0x000000000009b150
     0.18%  node     node                 [.] v8::internal::ObjectLiteral::InitDepthAndFlags
     0.18%  node     node                 [.] v8::internal::JSObject::UpdatePrototypeUserRegistration
