# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 91  of event 'cpu-clock:pppH'
# Event count (approx.): 22750000
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
# ........  .......  ...................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     7.69%  node     [kernel.kallsyms]    [k] __lock_text_start
     7.69%  node     node                 [.] v8::internal::Scanner::Next
     4.40%  node     libc-2.31.so         [.] __strlen_avx2
     4.40%  node     node                 [.] std::__find_if<unsigned short const*, __gnu_cxx::__ops::_Iter_pred<v8::internal::Utf16CharacterStream::AdvanceUntil<v8::internal::Scanner::ScanIdentifierOrKeywordInner()::{lambda(int)#1}>(v8::internal::Scanner::ScanIdentifierOrKeywordInner()::{lambda(int)#1})::{lambda(unsigned short)#1}> >
     3.30%  node     node                 [.] v8::internal::CopyChars<unsigned char, unsigned short>
     3.30%  node     node                 [.] v8::internal::SerializedCodeData::SanityCheck
     2.20%  node     [kernel.kallsyms]    [k] __prepare_exit_to_usermode
     2.20%  node     [kernel.kallsyms]    [k] clear_page_orig
     2.20%  node     ld-2.31.so           [.] _dl_lookup_symbol_x
     2.20%  node     node                 [.] v8::internal::CalculateLineEndsImpl<unsigned char>
     2.20%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseBinaryContinuation
     1.10%  node     [kernel.kallsyms]    [k] __handle_mm_fault
     1.10%  node     [kernel.kallsyms]    [k] __mod_lruvec_state
     1.10%  node     [kernel.kallsyms]    [k] __raw_spin_unlock_irq
     1.10%  node     [kernel.kallsyms]    [k] ext4_inode_csum_set
     1.10%  node     [kernel.kallsyms]    [k] handle_mm_fault
     1.10%  node     [kernel.kallsyms]    [k] mark_page_accessed
     1.10%  node     [kernel.kallsyms]    [k] mpt_put_msg_frame
     1.10%  node     [kernel.kallsyms]    [k] queue_work_on
     1.10%  node     [kernel.kallsyms]    [k] rmqueue
     1.10%  node     [kernel.kallsyms]    [k] security_inode_getattr
