# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2397426646
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    89.50%  node     [JIT] tid 9445       [.] Function:wasm-function[0]-0-turbofan
     0.68%  node     node                 [.] v8::internal::Scanner::Next
     0.27%  node     node                 [.] std::__find_if<unsigned short const*, __gnu_cxx::__ops::_Iter_pred<v8::internal::Utf16CharacterStream::AdvanceUntil<v8::internal::Scanner::ScanIdentifierOrKeywordInner()::{lambda(int)#1}>(v8::internal::Scanner::ScanIdentifierOrKeywordInner()::{lambda(int)#1})::{lambda(unsigned short)#1}> >
     0.20%  node     [kernel.kallsyms]    [k] native_write_msr
     0.18%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseAssignmentExpressionCoverGrammar
     0.18%  node     node                 [.] v8::internal::AstValueFactory::GetOneByteStringInternal
     0.16%  node     node                 [.] Cr_z_inflate_fast
     0.14%  node     [kernel.kallsyms]    [k] clear_page_orig
     0.14%  node     node                 [.] v8::base::TemplateHashMapImpl<unsigned long, v8::internal::SerializerReference, v8::base::KeyEqualityMatcher<long>, v8::base::DefaultAllocationPolicy>::Resize
     0.14%  node     node                 [.] v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::FindEntry
     0.12%  node     node                 [.] v8::internal::Deserializer::ReadData<v8::internal::FullMaybeObjectSlot>
     0.09%  node     [JIT] tid 9445       [.] 0x00002633a0c26000
     0.09%  node     libc-2.31.so         [.] _int_free
     0.09%  node     node                 [.] v8::internal::interpreter::ConstantArrayBuilder::AllocateIndexArray
     0.09%  node     node                 [.] v8::internal::CalculateLineEndsImpl<unsigned char>
     0.09%  node     libc-2.31.so         [.] unlink_chunk.isra.0
     0.09%  node     node                 [.] v8::internal::ParserBase<v8::internal::PreParser>::ParseVariableDeclarations
     0.09%  node     node                 [.] v8::internal::Serializer::ObjectSerializer::VisitPointers
     0.09%  node     libstdc++.so.6.0.28  [.] std::_Rb_tree_insert_and_rebalance
     0.09%  node     node                 [.] v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::Resize
     0.09%  node     libc-2.31.so         [.] __memmove_avx_unaligned_erms
     0.09%  node     [kernel.kallsyms]    [k] cgroup_throttle_swaprate
     0.09%  node     node                 [.] v8::internal::AstValueFactory::GetString
     0.09%  node     node                 [.] v8::internal::AstRawString::Compare
     0.09%  node     [kernel.kallsyms]    [k] __count_memcg_events
